"date","resp","inversa","logstica","identidade"
"2022-07-21",17.2707328796387,18.546499992128,17.6925304178071,17.2450472257443
"2022-07-22",17.4552249908447,18.489786641227,17.6669838799039,17.2389835186739
"2022-07-25",18.2705535888672,18.6614651660015,17.8410137459526,17.5357312105171
"2022-07-26",18.4550457000732,19.0447107699725,18.2456275585202,18.1213031516352
"2022-07-27",18.6573925018311,19.2416644349855,18.4272705701463,18.4028205089779
"2022-07-28",19.2168140411377,19.6640158382487,18.8404254248674,18.9362916464356
"2022-07-29",20.3237609863281,20.0631519731269,19.2099298433892,19.5472945446611
"2022-08-01",20.0440483093262,20.0539754265159,19.4708272144559,19.6908620867199
"2022-08-02",20.1333198547363,20.2428629134072,19.7016369410399,20.0146781526517
"2022-08-03",20.1452198028564,20.1569954663364,19.7639766486766,19.9173215359775
"2022-08-04",20.3594665527344,20.3525716246741,20.0509412616873,20.084474264115
"2022-08-05",20.752254486084,20.7369352704319,20.4262294897777,20.5626719609914
"2022-08-08",21.7996864318848,21.1765723038848,20.8415896338833,21.0603454571323
"2022-08-09",22.1567668914795,21.4335566951251,21.1134821128887,21.4318532369793
"2022-08-10",22.0853500366211,21.6361503811737,21.3226559361594,21.6856940329306
"2022-08-11",21.5735397338867,21.8677138334399,21.5051406666138,22.0041431233105
"2022-08-12",23.1755828857422,22.124069257108,21.8536694847785,22.1923179278847
"2022-08-15",23.1828937530518,22.5594870872098,22.3555924606458,22.6979030724159
"2022-08-16",23.3948421478271,22.677184130966,22.5980444337287,22.9163465910804
"2022-08-17",23.9429893493652,22.7580638610722,22.7033558867707,23.1029550210652
"2022-08-18",24.4253559112549,23.0098892928099,22.9106476513501,23.4058678536627
"2022-08-19",23.1902027130127,23.0578186080962,22.9782730497476,23.5461393089015
"2022-08-22",23.6871871948242,23.2299909940432,23.1864097418145,23.8089275027445
"2022-08-23",24.4399738311768,23.5437099775448,23.3835017713208,24.0957362712493
"2022-08-24",24.5861473083496,23.8981526764203,23.6719609049305,24.4396351645063
"2022-08-25",24.3230361938477,23.9891273732552,23.8208455381395,24.4958596917944
"2022-08-26",24.5861473083496,24.0476768584072,23.8433030990689,24.6227771176531
"2022-08-29",25.2000675201416,24.3988117129918,24.0259192838855,24.9446386735362
"2022-08-30",23.7018051147461,24.3488531030407,24.1425845660338,24.9622272158009
"2022-08-31",24.2864933013916,23.9548621810017,23.9414159146616,24.7208929537103
"2022-09-01",24.7396259307861,23.7268517242305,23.885026349223,24.5008874148177
"2022-09-02",24.4253559112549,23.6632161454735,23.8253718811285,24.3416062319943
"2022-09-06",23.460620880127,23.7475659873643,23.8478368078292,24.4255567566602
"2022-09-08",23.2413635253906,23.2666750722168,23.5095837384729,23.8385919811833
"2022-09-09",23.2340545654297,23.4161571217392,23.5200290700506,23.956596522796
"2022-09-12",23.0074882507324,23.5726908016931,23.5679777581734,23.9967473007814
"2022-09-13",22.4008731842041,23.3777791888799,23.3499130305932,23.8182034060952
"2022-09-14",22.7443790435791,22.9232398136086,22.9233907679037,23.3665970359927
"2022-09-15",22.7005271911621,22.69078053055,22.7542180342318,23.1435721979315
"2022-09-16",22.495885848999,22.3455405547251,22.4370654899023,22.8119345312851
"2022-09-19",22.8540058135986,22.4683014060795,22.518417528819,22.7657967471878
"2022-09-20",22.7224521636963,22.6763856230234,22.6986580197245,22.8764401430986
"2022-09-21",22.7809219360352,22.6516913771599,22.6839245434028,22.9054093323932
"2022-09-22",23.3436851501465,22.7084353884231,22.7492532557526,22.9661335466234
"2022-09-23",21.8819637298584,22.6561014017075,22.773901186448,22.8942877346083
"2022-09-26",21.4069042205811,21.987817787312,22.2379941922242,22.298812247885
"2022-09-27",21.6846294403076,21.6127112986075,21.8565164186335,21.9041310130619
"2022-09-28",21.3922863006592,21.6021699220526,21.734945441322,21.8201637901353
"2022-09-29",21.4215202331543,21.4279449537327,21.5620717940006,21.6425147440518
"2022-09-30",21.7796421051025,21.3455424153083,21.4783842836994,21.442552549008
"2022-10-03",23.5190925598145,21.4809883970171,21.589147236081,21.4394636023328
"2022-10-04",22.9270935058594,22.420415561646,22.3202424671463,22.3070297587036
"2022-10-05",23.7895069122314,22.7194051927888,22.6042034327218,22.6200146178931
"2022-10-06",24.6007633209229,23.0174378756152,22.9132569892133,22.9703152800861
"2022-10-07",24.5788402557373,23.3843940916727,23.2243814824309,23.4008869234618
"2022-10-10",24.3011112213135,23.7217458073577,23.6190522664734,23.786806985397
"2022-10-11",24.1183967590332,23.8573886589735,23.8410982501732,24.0722625891934
"2022-10-13",24.8054046630859,23.5970522373407,23.6828973747866,23.9689137593725
"2022-10-14",24.4253559112549,23.7664109963748,23.9323093424418,24.1736086445365
"2022-10-17",24.4034309387207,23.6833161953477,23.8981328641204,24.0743066196557
"2022-10-18",25.0027370452881,23.7996625135789,24.034240193367,24.2190990885958
"2022-10-19",25.8870754241943,24.1959922005329,24.323011329167,24.5448658418366
"2022-10-20",26.6544818878174,24.3218917491802,24.5007284340609,24.7698840913499
"2022-10-21",27.568058013916,25.0947150328651,25.1685167894397,25.3804017737345
"2022-10-24",25.0319709777832,25.1579658999015,25.217095931592,25.5439354094951
"2022-10-25",24.5057506561279,24.6539630780032,24.8548973837282,25.1842990935929
"2022-10-26",23.9064445495605,24.4874783111878,24.6525109984435,25.1496156911749
"2022-10-27",24.0891609191895,24.354849491528,24.5034490853389,24.8818987449768
"2022-10-28",23.8041248321533,24.279935602914,24.4029345296238,24.7022103135406
"2022-10-31",21.7869491577148,24.0317000824812,24.0745974391201,24.1856508075663
