date,adjclose_petro,variation,oscilation,MM7_petro,MM14_petro,adjclose_barril,MM7_barril,MM14_barril,adjclose_dolar,MM7_dolar,MM14_dolar,adjclose_b3,MM7_b3,MM14_b3
2022-07-21,17.270732879638672,0.0,0,16.975717272077286,16.94766058240618,103.86000061035156,103.461427961077,104.11285618373326,5.470200061798096,5.42577144077846,5.387307167053223,10.681257247924805,10.064523424421038,10.407537528446742
2022-07-22,17.455224990844727,1.0682355664452636,1,17.06753785269601,16.9557375226702,103.19999694824219,103.97999899727958,103.51071330479213,5.497799873352051,5.4345285551888605,5.399221454347883,10.399914741516113,10.125503676278251,10.382591043199811
2022-07-25,18.270553588867188,4.670971576992566,1,17.3404483795166,17.069237572806223,105.1500015258789,104.8442851475307,103.68071365356445,5.496699810028076,5.4496427944728305,5.411250012261527,10.409616470336914,10.187869889395577,10.345171247209821
2022-07-26,18.455045700073242,1.0097784410783905,1,17.59975596836635,17.211219106401717,104.4000015258789,105.30714198521206,103.94571358816964,5.356299877166748,5.44014276776995,5.409185716084072,10.409616470336914,10.28488404410226,10.31883886882237
2022-07-27,18.657392501831055,1.0964307812958207,1,17.83355794634138,17.333221435546875,106.62000274658203,105.35714285714286,104.086427961077,5.350100040435791,5.431571347372873,5.403621435165405,10.55513858795166,10.369424956185478,10.285576956612724
2022-07-28,19.216814041137695,2.998390794703698,1,18.097966602870397,17.481579508100236,107.13999938964844,105.32714298793248,104.09499958583287,5.243000030517578,5.403885637010847,5.396821430751255,10.923791885375977,10.514946256365095,10.273103850228447
2022-07-29,20.323760986328125,5.760304194133181,1,18.521360669817245,17.714956419808523,110.01000213623047,105.76857212611607,104.30285699026925,5.182700157165527,5.370971407209124,5.391728571483067,10.758868217468262,10.591171945844378,10.295278481074742
2022-08-01,20.044048309326172,-1.3762840312386948,0,18.91754858834403,17.946632930210658,100.02999877929688,105.22142900739398,104.3414284842355,5.171199798583984,5.328257083892822,5.377014262335641,10.54543685913086,10.571769033159528,10.318146228790283
2022-08-02,20.133319854736328,0.4453768222491217,1,19.300133568899973,18.18383571079799,100.54000091552734,104.84142957414899,104.41071428571429,5.184000015258789,5.283428532736642,5.358978543962751,10.47752571105957,10.58285631452288,10.354179995400566
2022-08-03,20.145219802856445,0.05910574215268749,1,19.567943028041295,18.454195703778947,96.77999877929688,103.64571489606585,104.24500002179828,5.277699947357178,5.25214283806937,5.3508928162711005,10.826776504516602,10.642450605119977,10.415160247257777
2022-08-04,20.359466552734375,1.0635116021298074,1,19.840003149850027,18.71987955910819,94.12000274658203,102.17714364188058,103.74214281354632,5.282700061798096,5.2416285787309915,5.340885673250471,11.544681549072266,10.804602759225029,10.544743401663643
2022-08-05,20.752254486083984,1.9292643661965592,1,20.139269147600448,18.986413546970912,94.91999816894531,100.5057144165039,102.93142863682338,5.211100101470947,5.221771444593157,5.3266713959830145,11.709606170654297,10.96952669961112,10.669475827898298
2022-08-08,21.799686431884766,5.04731640845657,1,20.50825091770717,19.303108760288783,96.6500015258789,99.00714329310826,102.16714314052037,5.164599895477295,5.210571425301688,5.307228531156268,12.07826042175293,11.134450776236397,10.824698516300746
2022-08-09,22.156766891479492,1.638007320474344,1,20.770108904157365,19.645734786987305,96.30999755859375,97.0499997820173,101.40928595406669,5.110099792480469,5.200199944632394,5.285585675920759,11.884231567382812,11.295216969081334,10.943194457462855
2022-08-10,22.085350036621094,-0.3223252526335929,0,21.061723436628068,19.98963601248605,97.4000015258789,96.67428588867188,100.94785744803292,5.123700141906738,5.193414279392788,5.260835681642805,12.000648498535156,11.503104346139091,11.03743668964931
2022-08-11,21.57353973388672,-2.3174199271721374,0,21.267469133649552,20.283801351274764,99.5999984741211,96.53999982561383,100.69071469988141,5.093699932098389,5.18051426751273,5.231971400124686,11.787216186523438,11.690202985491071,11.136529650006976
2022-08-12,23.175582885742188,7.425963340355568,1,21.700378145490372,20.634160586765834,98.1500015258789,96.73571450369698,100.19071469988141,5.1570000648498535,5.163271427154541,5.207707132611956,12.708852767944336,11.959071023123604,11.30076081412179
2022-08-15,23.182893753051758,0.03154555959008487,1,22.103724888392858,20.971864019121444,95.0999984741211,96.87571389334542,99.526428767613,5.074900150299072,5.133585725511823,5.187607152121408,12.805866241455078,12.139240264892578,11.471921512058803
2022-08-16,23.39484214782715,0.914244774759787,1,22.481237411499023,21.310253279549734,92.33999633789062,96.50714220319476,98.50642830984933,5.095600128173828,5.11708572932652,5.169428586959839,12.728254318237305,12.284761428833008,11.627144064222064
2022-08-17,23.942989349365234,2.3430258604629994,1,22.787423542567662,21.647837230137416,93.6500015258789,96.07857077462333,97.54285703386579,5.1417388916015625,5.113819871629987,5.162195648465838,12.4857177734375,12.342969621930804,11.7387101990836
2022-08-18,24.425355911254883,2.014646353682803,1,23.111507688249862,21.940808296203613,96.58999633789062,96.11857060023716,96.58428519112724,5.164999961853027,5.121662752968924,5.160931348800659,12.466317176818848,12.426124708993095,11.860670839037214
2022-08-19,23.190202713012695,-5.056848312589157,0,23.269343784877233,22.16553361075265,96.72000122070312,96.02142769949776,96.34785679408482,5.166999816894531,5.127848420824323,5.160631350108555,12.136467933654785,12.445527485438756,11.974315915788923
2022-08-22,23.68718719482422,2.143079506297929,1,23.571293422154017,22.419381277901785,96.4800033569336,95.57571411132812,96.05785696847099,5.168399810791016,5.138519832066128,5.159517049789429,11.9327392578125,12.466316495622907,12.07825974055699
